Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement
9.41,0.6968287851161175,-0.7054763038269648,-0.9902654104524282,-0.7947242945355807,1.0,1.0
9.42,0.6474594327631523,-0.689282193796935,-0.9443484298885217,-0.7870663695107949,1.0,1.0
9.43,0.573498688055858,-0.6706570972727899,-0.8966217685823225,-0.7499950506408096,1.0,1.0
9.44,0.4802592867702059,-0.6501994109300038,-0.8214955626320024,-0.6847286441795679,1.0,1.0
9.45,0.3688517505984977,-0.6300783227171722,-0.7016653513180153,-0.5893526688708737,1.0,1.0
9.47,0.23687735268536167,-0.6161656000123892,-0.5240231768313212,-0.4555710392712087,1.0,1.0
9.48,0.08944449281538581,-0.6052822604771957,-0.28406929246135376,-0.2882569803963455,1.0,1.0
9.49,-0.07713376102987171,-0.6003454879045308,-0.013008463440081965,-0.09530047560515524,1.0,1.0
9.5,-0.2597035272442739,-0.6016170808399144,0.25570467164524247,0.10775056671870747,1.0,1.0
9.51,-0.4285472453418269,-0.5948103186563913,0.5040711259523549,0.28005387977638546,1.0,1.0
9.52,-0.5746919000487328,-0.5782422107041898,0.7286671791579993,0.4094264010284468,1.0,1.0
9.53,-0.7078212405218626,-0.5593553156345247,0.9289059077781882,0.509211484684745,1.0,1.0
9.54,-0.8357089186073282,-0.5400570228504706,1.1237645044618307,0.5962333599664003,1.0,1.0
9.55,-0.961642078514343,-0.5213945265341082,1.325470541791987,0.6820949435776338,1.0,1.0
9.56,-1.082067050827541,-0.5046394196208209,1.5301111965420773,0.7691168188592887,1.0,1.0
9.57,-1.1919642774977188,-0.4887445079285284,1.7264371019356868,0.852657819129678,1.0,1.0
9.58,-1.2888017690664288,-0.4720268008074584,1.9085790231329471,0.9290630256269723,1.0,1.0
9.59,-1.3733346802844353,-0.45299030656892453,2.074091445617246,0.9986225112687755,1.0,1.0
9.6,-1.450005097920946,-0.4310590684127824,2.2234634722919053,1.0635988448124114,1.0,1.0
9.61,-1.5223222705236334,-0.4063004059650232,2.3587884635831466,1.1278209887702728,1.0,1.0
9.62,-1.5894422016063496,-0.37967175390640595,2.4832749345367624,1.1900706368884166,1.0,1.0
9.63,-1.647988905224496,-0.3532675006010918,2.597803270378735,1.2454165495675502,1.0,1.0
9.64,-1.6968074388180794,-0.32862103752998395,2.6998438308930797,1.2909579976316168,1.0,1.0
9.65,-1.7370971658147856,-0.30565756510864833,2.786737852697336,1.3282033602521646,1.0,1.0
9.66,-1.771079129599218,-0.28392828583047897,2.8577066839694156,1.3578488124314492,1.0,1.0
9.67,-1.7986200675683008,-0.26418119553981906,2.9137578766901626,1.3816347916751017,1.0,1.0
9.68,-1.8178276507583513,-0.24634149465223415,2.958168420311836,1.4004895313194605,1.0,1.0
9.69,-1.8282399021453724,-0.22939564879863944,2.990547032511779,1.4110481855203012,1.0,1.0
9.7,-1.8316158880899693,-0.21335861789592164,3.011187175031983,1.412614579275371,1.0,1.0
9.71,-1.8295725281761341,-0.19861412381222884,3.024490774002353,1.407045179257345,1.0,1.0
9.72,-1.8213990885207936,-0.18310069000055135,3.0359357819400974,1.3930056500452372,1.0,1.0
9.73,-1.8040749501208866,-0.16664852140422312,3.0564781038796376,1.3689876124675004,1.0,1.0
9.74,-1.7719586627795212,-0.15419439059590917,3.092534769912565,1.331220118595262,1.0,1.0
9.75,-1.7197641432413402,-0.1466059727550476,3.124531881847916,1.2700147329804983,1.0,1.0
9.76,-1.650867377450942,-0.14365138916989204,3.1273686786871853,1.1873439514629254,1.0,1.0
9.77,-1.566778674909856,-0.14372618875432638,3.0881426258407294,1.0804230740335314,1.0,1.0
9.78,-1.4655879383073236,-0.14223019706564,2.9965825623387774,0.9417682194180933,1.0,1.0
9.79,-1.3523591465602407,-0.141295202260211,2.8496560501807293,0.7750923209619627,1.0,1.0
9.8,-1.224560310210159,-0.13673242760971763,2.6768070841465943,0.5849205161797851,1.0,1.0
