"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.199307625E0,3.619964433E-1,-3.683883855E0,-2.878722260E0,4.689251916E0
2.209350625E0,1.018213668E0,-4.408255641E0,-3.324090351E0,5.614183247E0
2.219392625E0,1.758567064E0,-4.788379038E0,-3.327458639E0,6.090411556E0
2.229435625E0,2.015371513E0,-5.075854472E0,-3.585315002E0,6.533031809E0
2.239477625E0,1.590413421E0,-5.640379754E0,-2.857351564E0,6.519797281E0
2.249520625E0,9.395300263E-1,-6.606650852E0,-1.938594064E0,6.949007058E0
2.259562625E0,9.494708776E-2,-7.993175372E0,-2.156221583E0,8.279441949E0
2.269605625E0,-6.663305694E-1,-9.318072578E0,-1.517479054E0,9.464312742E0
2.279647625E0,-1.759782701E0,-1.055673505E1,-1.907602651E0,1.087108265E1
2.289690625E0,-3.492176458E0,-1.184328972E1,-2.043475571E0,1.251537455E1
2.299732625E0,-5.514600883E0,-1.338087940E1,-1.849759655E0,1.459042039E1
2.309775625E0,-7.432991062E0,-1.537112542E1,-6.554104556E-1,1.708655658E1
2.319817625E0,-8.148960984E0,-1.716060029E1,7.749876237E-1,1.901295277E1
2.329860625E0,-7.827673441E0,-1.841200501E1,1.550728515E0,2.006686719E1
2.339902625E0,-6.726765525E0,-1.847124900E1,2.643498130E0,1.983493121E1
2.349945625E0,-5.217904390E0,-1.736982302E1,2.824913843E0,1.835531030E1
2.359987625E0,-3.458049184E0,-1.650446317E1,3.431540247E0,1.720845365E1
2.370030625E0,-2.641024758E0,-1.671750764E1,4.226180363E0,1.744450268E1
2.380072625E0,-3.942638643E0,-1.762734960E1,6.488468099E0,1.919291722E1
2.390115625E0,-4.953779227E0,-1.728002031E1,8.485012747E0,1.987798963E1
2.400157625E0,-5.594387310E0,-1.595331865E1,8.932914144E0,1.912073483E1
2.410200625E0,-5.230864159E0,-1.186873797E1,7.441885847E0,1.495361314E1
2.420242625E0,-4.317372076E0,-6.880324518E0,4.346646454E0,9.212594776E0
2.430285625E0,-2.876122880E0,-4.672451556E-1,-6.190751266E-1,2.978868052E0
2.440327625E0,-1.756495981E0,4.602763855E0,-7.741438705E0,9.176087753E0
2.450370625E0,-9.886234828E0,6.689828664E0,-4.102159048E1,4.272308898E1
2.460412625E0,-1.935236125E1,2.283918926E0,-6.629826174E1,6.910274728E1
2.470455625E0,-6.856739774E0,1.810023147E0,-2.132770974E1,2.247581515E1
2.480497625E0,-3.302975178E0,1.197585779E0,-1.041659717E1,1.099315029E1
2.490540625E0,-3.337557950E0,2.382032865E0,4.493789881E0,6.083380733E0
2.500582625E0,-1.187958777E0,6.218813809E0,1.364088520E1,1.503857175E1
2.510625625E0,1.246062121E0,9.495714498E0,1.342897625E1,1.649420104E1
2.520667625E0,6.958598855E-1,9.776352198E0,8.683165530E0,1.309422189E1
2.530710625E0,4.159666823E-1,9.747479816E0,4.875926474E0,1.090692670E1
2.540752625E0,1.125871434E0,1.011256768E1,3.356193026E0,1.071427288E1
2.550795625E0,1.382742833E0,1.037297928E1,2.890436572E0,1.085657867E1
2.560837625E0,1.421907191E0,1.049643856E1,2.927548850E0,1.098943059E1
